job_id,platform,title,company,location,salary_min,salary_max,salary_currency,job_type,experience_level,remote_type,description,requirements,skills,apply_url,posted_date,scraped_date,company_rating
indeed_1765355638497,indeed,Python Automation Engineer,InfoBeans,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355638497,,2025-12-10 09:33:58,
indeed_1765355638635,indeed,Sr. PHP Developer,Liquid Web,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355638635,,2025-12-10 09:33:58,
indeed_1765355638731,indeed,Python Developer Advocate,SerpApi,"Remote in Austin, TX",,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355638731,,2025-12-10 09:33:58,
indeed_1765355638985,indeed,Jira Developer,RxSense,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355638985,,2025-12-10 09:33:59,
indeed_1765355639335,indeed,Principal Database Developer,DHL eCommerce,Remote,,,USD,full-time,senior,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355639335,,2025-12-10 09:33:59,
indeed_1765355639558,indeed,"Data Engineer (Python, Java) Remote (50%) Columbia SC",NexonIT,"Remote in Columbia, SC",,,USD,full-time,mid,remote,,,,https://www.indeed.com/viewjob?jk=indeed_1765355639558,,2025-12-10 09:33:59,
indeed_1765355639709,indeed,Senior AI Developer,EBizCharge,Remote,,,USD,full-time,senior,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355639709,,2025-12-10 09:33:59,
indeed_1765355639850,indeed,,,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355639850,,2025-12-10 09:33:59,
indeed_1765355639998,indeed,Software Engineer - Remote,Spiro,Remote,,,USD,full-time,mid,remote,,,,https://www.indeed.com/viewjob?jk=indeed_1765355639998,,2025-12-10 09:34:00,
indeed_1765355640128,indeed,Senior AI Software Developer,Sbs Cybersecurity Llc,"Remote in Madison, SD 57042",,,USD,full-time,senior,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355640128,,2025-12-10 09:34:00,
indeed_1765355640387,indeed,Frontend Engineering Lead,"Aclima, Inc.","Remote in San Francisco, CA",,,USD,full-time,senior,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355640387,,2025-12-10 09:34:00,
indeed_1765355640508,indeed,Solution Engineer,Tarpon Health,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355640508,,2025-12-10 09:34:00,
indeed_1765355640655,indeed,Software Engineer - Consumer,Astrohaus,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355640655,,2025-12-10 09:34:00,
indeed_1765355640805,indeed,Machine Learning: Natural Language Processing Engineer,Primordial Labs,"Remote in New Haven, CT 06510",,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355640805,,2025-12-10 09:34:00,
indeed_1765355640950,indeed,Engineering Manager - US,Turing,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355640950,,2025-12-10 09:34:01,
indeed_1765355641090,indeed,Data Engineer,"The Knowlton Group, LLC",Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1765355641090,,2025-12-10 09:34:01,
